[6/27/2017, 9:14:39 AM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:26:42 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:26:46 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:26:48 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:26:49 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:26:50 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:26:53 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:26:55 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function/wy] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:27:03 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function/wy] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:27:05 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/fileView?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function/wy/index03.html] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:27:13 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function/wy/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 2:27:20 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/fileView?path=//var/www/vhosts/cy.wtianyu.com/httpdocs/function/wy/index/collision01.html] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[6/27/2017, 4:00:21 PM] [::ffff:210.13.80.220] [GET] [http://123.1.151.52:3010/filelist?path=] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
