[10/3/2017, 9:02:03 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:02:51 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:23:31 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=//临时文件目录/王宇] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:23:34 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=///临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:23:36 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=/临时文件目录/123] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:23:39 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:23:40 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=/临时文件目录/彭鑫] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:23:42 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=/临时文件目录/彭鑫/物流项目资料] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:25:14 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:32:21 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/shellMemCondition] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:33:09 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:33:18 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/shellOperate?sourcePath=undefined&targetPath=//临时文件目录/hello.txt&doType=5] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:33:20 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/filelist?path=//临时文件目录] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
[10/3/2017, 9:33:35 PM] [::ffff:113.44.7.242] [北京市:北京市] [GET] [http://101.132.76.193:3010/fileView?path=//临时文件目录/hello.txt] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36]
